courseNumber,courseTitle,crn,department,description,distDesg,meetingPattern,prerequisites
156,Advanced Modern Chinese through Film for Heritage Speakers,13203,EALL,"This course is designed to consolidate students’ grasp of the language through the use of films, TV programs, videos on social media, and authentic written materials. Activities include presentations, group discussions, written assignments, and projects. Open to heritage learners with intermediate to advanced oral proficiency and intermediate-low reading and writing proficiency.",['YCL5'],['TTh 9.00-10.15'],"After CHNS 142, or equivalent."
158,Advanced Chinese III through Films and Stories,13204,EALL,"Fourth level of the standard foundational sequence of modern Chinese, with study in speaking, listening, reading, and writing. Readings in a wide range of subjects form the basis of discussion and other activities. Students consolidate their skills, especially speaking proficiency, at an advanced level. Materials use both simplified and traditional characters. (Previously CHNS 154.)",['YCL5'],['MWF 9.25-10.15'],After CHNS 151 or equivalent.
162,Advanced Chinese through History and Culture,13208,EALL,"This course is intended for both heritage and non heritage learners with advanced proficiency. Students develop sophisticated language skills through working with authentic written materials, images, and videos concerning historical events, historical figures, artists, writers, and philosophers. Activities include working with translation tools, discussions, debates, presentations, oral and written exercises on platforms such as Playposit and Perusall, and collaborative projects.",['YCL5'],['TTh 11.35-12.50'],"After CHNS 153, or 157, or 159, or equivalent."
164,Chinese for Reading Contemporary Fiction,13210,EALL,"Selected readings in Chinese fiction of the 1980s and 1990s for the purpose of developing advanced language skills in reading, speaking, and writing.",['YCL5'],['MW 11.35-12.50'],"After CHNS 153, or 157, or 159, or equivalent."
166,Chinese for Current Affairs,13213,EALL,"Advanced language course with a focus on speaking and writing in formal styles. Current affairs are used as a vehicle to help students learn advanced vocabulary, idiomatic expressions, complex sentence structures, news writing styles and formal stylistic register. Materials include texts and videos selected from news media worldwide to improve students’ language proficiency for sophisticated communications on a wide range of topics.",['YCL5'],['MW 11.35-12.50'],"After CHNS 153, 157, or 159."
168,Chinese for Global Enterprises,13216,EALL,"Advanced language course that familiarizes students with Chinese business terminology and discourse through discussion of China's economic and management reforms, marketing, economic laws, business culture and customs, and economic relations with other countries. Case studies from international enterprises that have successfully entered the Chinese market.",['YCL5'],['MW 1.00-2.15'],"Prerequisite: After CHNS 153, or CHNS 157, or CHNS 159, or equivalent."
172,Chinese for Scholarly Conversation,13217,EALL,"This course aims to prepare students for the language requirements of advanced research or employment in a variety of China-related fields. Materials include readings on contemporary social, cultural, and political issues, which are written by prominent scholars in related fields. This level is suitable for students who have had four years of college Chinese or who have taken three years of an accelerated program for heritage speakers.",['YCL5'],['MW 2.30-3.45'],"After CHNS 153, 159, 157, or equivalent,or permission of the instructor."
184,History of Atlantic Slavery,10005,AFST,"The history of peoples of African descent throughout the Americas, from the first African American societies of the sixteenth century through the century-long process of emancipation.",['YCHU'],['TTh 10.30-11.20'],Value Not Provided
238,Third World Studies,10252,AFST,Introduction to the historical and contemporary theories and articulations of Third World studies (comparative ethnic studies) as an academic field and practice. Consideration of subject matters; methodologies and theories; literatures; and practitioners and institutional arrangements.,['YCSO'],[],Value Not Provided
344,African Independence: A Cup of Plenty or a Poisoned Chalice?,10373,AFST,"In every African colony after World War Two there emerged nationalist movements which no longer called for civil rights as in the pre-war years but demanded self-determination. While many of them got it easy, some had to fight long and bloody wars for it. By the 1960s the colonial edifice had crumbled except for the few settler colonies in southern Africa. But even here the winds of change could not be stopped. But what did decolonization and independence mean to Africa? Did Africans get what they wanted? Was independence a cup of plenty or a poisoned chalice? In addressing these questions, thiscoursecharts the economic, political, and cultural transformations of postcolonial Africa from the 1960s to the present. The argument is this: there can be no understanding of Africa’s challenges today without an inquiry into the nature of what the continent got from the departing colonial powers.",['YCHU'],['MW 10.30-11.20'],Value Not Provided
368,Commodities of Colonialism in Africa,10376,AFST,"This course examines historical case studies of several significant global commodities produced in Africa to explore interactions between world market forces and African resources and societies. Through the lens of four specific commodities–ivory, rubber, cotton, and diamonds–this course evaluates diverse industries and their historical trajectories in sub-Saharan Africa within a global context from ~1870-1990s. Students become acquainted with the historical method by developing their own research paper on a commodity using both primary and secondary sources.","['YCHU', 'YCWR']",['W 1.30-3.20'],Value Not Provided
396,Revolutions and Socialist Experiments in Africa,10378,AFST,"This seminar explores the contours of Africa’s embrace and engagement with the most influential ideology of the twentieth-century. Why, and through which channels, were Africans attracted to socialism? Did particular forms of colonialism and decolonization push African political actors towards revolution and socialist experiments? Is it legitimate, as some scholars have suggested, to speak of genuinely African socialisms? If so, what was the nature of these socialisms and how did they differ from the versions of socialism around the world? What political, social, economic, and cultural ends did socialism serve in Africa? And what were the consequences and legacies of African socialist experiments? The seminar addresses these questions. Our goal is to place Africa in the mainstream of conversations about socialism. We begin with the assumption that, like any doctrine, socialism was the object of multiple interpretations, modification, and appropriation from its inception. In so doing, we challenge...","['YCHU', 'YCWR']",['T 1.30-3.20'],Value Not Provided
366,"Bureaucracy in Africa: Revolution, Genocide, and Apartheid",11674,AFST,"A study of three major episodes in modern African history characterized by ambitious projects of bureaucratically driven change—apartheid and its aftermath, Rwanda’s genocide and post-genocide reconstruction, and Ethiopia’s revolution and its long aftermath. Examination of Weber’s theory bureaucracy, Scott’s thesis on high modernism, Bierschenk’s attempts to place African states in global bureaucratic history. Overarching theme is the place of bureaucratic ambitions and capacities in shaping African trajectories.",[],"['Th 1.30-3.20', '1 HTBA WLH 002']",Value Not Provided
457,Racial Republic: African Diasporic Literature and Culture in Postcolonial France,11747,AFST,"This is an interdisciplinary seminar on French cultural history from the 1930s to the present. We focus on issues concerning race and gender in the context of colonialism, postcolonialism, and migration. The course investigates how the silencing of colonial history has been made possible culturally and ideologically, and how this silencing has in turn been central to the reorganizing of French culture and society from the period of decolonization to the present. We ask how racial regimes and spaces have been constructed in French colonial discourses and how these constructions have evolved in postcolonial France. We examine postcolonial African diasporic literary writings, films, and other cultural productions that have explored the complex relations between race, colonialism, historical silences, republican universalism, and color-blindness.Topics include the 1931 Colonial Exposition, Black Paris, decolonization, universalism, the Trente Glorieuses, the Paris massacre of 1961, anti-racist movements, the...",['YCHU'],['W 1.30-3.20'],Value Not Provided
363,Our Guinea: Locating Africa in Early Iberian Archives,11798,AFST,"African coastlines were the first horizons of Iberian imperial expansion into the Atlantic, and eventually, the world. While the worlds made by Africans displaced by the slave trade and their descendants have received extensive attention in recent years, Africa itself rarely enters the frame. The histories that unfolded on the continent in many ways challenge our understandings of Spanish and Portuguese expansion and colonialism, shaped as they are by the “New World” paradigm of conquest and conversion. Were African societies part of the “New World” or the “Old World”? In this course we study an often-overlooked domain of Spanish and Portuguese imperialism and commerce from an approach that includes but does not limit itself to the study of slavery and enslaved Africans in the Americas. We read a selection of primary texts from the early modern Ibero-African archive, with a focus on texts produced about the African continent and Africans (and when possible, by Africans) in Spanish, and to a lesser extent...","['YCHU', 'YCL5']",['MW 4.00-5.15'],Value Not Provided
435,West African Dance: Traditional to Contemporary,11846,AFST,"A practical and theoretical study of the traditional dances of Africa, focusing on those of Burkina Faso and their contemporary manifestations. Emphasis on rhythm, kinesthetic form, and gestural expression. The fusion of modern European dance and traditional African dance.",['YCHU'],['TTh 10.30-12.20'],Admission by audition during the first class meeting.
377,Caribbean Poetry in French,11946,AFST,"An introduction to Caribbean poetry in French from the turn of the twentieth century to the present day. Topics covered will include literary, social, and political movements including surrealism, colonization, decolonization, immigration, the relation of French to other languages of the Caribbean including Créole, Spanish, and English, and points of contact between poetry, music, theater, and the visual arts. Students will learn how to read, comment on, and write about poetry.Primary authors will include Étienne Léro, Aimé Césaire, Saint-John Perse, Magloire-Saint-Aude, Édouard Glissant, René Depestre, Davertige, Jean Métellus, Raphaël Confiant, Suzanne Dracius, and Patrick Chamoiseau.Readings, assignments, and discussions in French.",[],['M 1.30-3.20'],"Ability to read, write, and discuss in French."
015,South African Writing after Apartheid,12310,AFST,"An introduction to creative writing published in South Africa from the end of Apartheid in 1994 to the present. Close readings of contemporary fiction with additional material drawn from popular culture, including films, magazines, and music.","['YCHU', 'YCWR']",['TTh 1.00-2.15'],Enrollment limited to first-year students.
484,Musical Pan-Africanisms,12495,MUSI,"This seminar surveys the musical conversation that has circulated around the “Black Atlantic” cultural sphere (sub-Saharan Africa, Afro-America, the Afro-Caribbean, and Latin America) for most of the twentieth century, facilitated by the advent of sound recording and broadcast technologies at the beginning of the twentieth century, and articulated through discourses of black cultural connection and concrete histories of trans-Atlantic encounter. Many –though not all– of the readings focus on the decades immediately following World War II, when “Pan-Africanism” was an explicit and prominent political discourse. Others address earlier or later examples when the idea of cross-cultural connection was more implicit but equally influential. We trace the unfolding of this conversation through a variety of sources: scholarly, personal (i.e. biographies/autobiographies), journalistic, and, of course, sonic.","['YCHU', 'YCWR']",['Th 1.30-3.20'],Value Not Provided
389,Comparative settler geographies,13160,AFST,"This advanced undergraduate seminar delves into theories and comparative studies of recent and contemporary settler colonial geographies to ask the following questions: 1) What are the key characteristics of settler colonial geographies and (how) are they distinct from colonial geographies? 2) What are the intellectual and political stakes of applying settler colonialism as an analytical lens? 3) How does comparative analysis deepen or disrupt concepts such as sovereignty, race, and I/indigeneity, especially in a majority world context? 4) How do Indigenous or and/or occupied peoples contest settler cartographies through placemaking and other strategies?In this seminar, we read key theoretical texts in colonial, postcolonial, settler, Native, and Indigenous studies with an emphasis on global and Southern intervention. Alongside theoretical texts, we focus on four case studies that, to a greater or lesser degree, push the boundaries of settler colonial definitions and concepts: South Africa,...",['YCSO'],['Th 9.25-11.15'],Value Not Provided
491,The Senior Essay,13596,AFST,"Independent research on the senior essay. By the end of the sixth week of classes, a rough draft of the entire essay should be completed. By the end of the last week of classes (fall term) or three weeks before the end of classes (spring term), two copies of the final essay must be submitted.",[],['1 HTBA'],Value Not Provided
002,Introduction to African Literature,14725,AFST,"This is a survey course meant to offer a formal introduction to African Literature in its broadest historical and cultural contexts. The aim is for each student to gain a close, personal familiarity with selected representative texts of major forms/genres and of the major writers of various periods, including the traditional raconteurs who daily regale communities with their oral arts; Chinua Achebe, considered the ‘father’ of modern African literature; Ama Ata Aidoo, groundbreaking African woman writer; Nawal El Saadawi, physician, activist, and feminist who writes about women in Islam; Keorapetse Kgositsile, award winning poet and South African Poet Laureate; Patricia Jabbeh Wesley whose poetry gives voice to the hundreds of Liberians who were killed during the country’s civil war. We begin with oral genres—the earliest and the predominant forms of African literature—including folktales, myths and legends, and oral poetry. We then look at selected writers and their works from around the continent. The...",['YCHU'],['T 9.25-11.15'],Enrollment limited to first-year students.
388,Anthropology of Education,14789,AFST,"This course explores how the insights and concepts of social anthropology contribute to improved understanding of educational theory and practice in multicultural settings. The course draws on ethnographic approaches to provide students with a comprehensive understanding of the intricate relationship between personhood, learning, and the centrality of culture within various educational contexts in sub-Saharan Africa. It illustrates the realities of what it means to be growing up and living in multicultural and multilingual African nations. Students are encouraged to think critically about the potential benefits and challenges of applying the discourses, models, and systems of Western education as a means of ""development."" Assigned readings will help critically examine traditional categories such as 'gender,' 'class,' 'race,' 'kinship,' 'religion,' and 'nation.' Class discussions acknowledge the intricate interplay of these categories in the context of contemporary experiences of migration. By end of the...",['YCSO'],['W 1.00-2.50'],Value Not Provided
465,Infrastructures of Empire: Control and (In)security in the Global South,14958,AFST,"This advanced seminar examines the role that infrastructure plays in producing uneven geographies of power historically and in the “colonial present” (Gregory 2006). After defining terms and exploring the ways that infrastructure has been conceptualized and studied, we analyze how different types of infrastructure (energy, roads, people, and so on) constitute the material and social world of empire. At the same time, infrastructure is not an uncontested arena: it often serves as a key site of political struggle or even enters the fray as an unruly actor itself, thus conditioning possibilities for anti-imperial and decolonial practice. The geographic focus of this course is the African continent, but we explore comparative cases in other regions of the majority and minority world.",['YCSO'],['T 1.30-3.20'],Value Not Provided
239,African American Drama through 1959,10008,ENGL,"This course surveys the formal development and major themes of African American drama from the antebellum period through 1959. We examine how dramatists and performers reimagined the various meanings of Blackness in the U.S. public sphere, as well as individual and collective acts of self-fashioning on and off the stage. Special attention is given to aesthetic experimentation and its relationship to political theater; transformations of genre and form; Black dramatic theory; historical drama; diasporic connections and disconnections; the relationship between music, dance, spectacle, and drama; anti-lynching drama and folk drama; representations of class, gender, and sexuality; inter- and intra-racial conflict; Black radical theatre in the New Deal; and institutional histories of key Black theatre companies.","['YCHU', 'YENJ']",[],Value Not Provided
277,Blackness and the Problem,10010,ENGL,"In The Souls of Black Folk (1903), W.E.B. Du Bois famously theorizes blackness as a serial confrontation with a fundamental question: “How does it feel to be a problem?” This question is in many ways the organizing query of black studies and the devoted preoccupation of this class. Over the course of the semester, we undertake a sustained interrogation of the “problem” of being black, from the advent of racial slavery through to its manifold afterlives. Reading widely across a black literary and intellectual tradition spanning multiple centuries, genres, and disciplines, we explore how black writers not only bear witness to the evolution of the problem of being black over time, but also imagine its redress. Furthermore, we explore how blackness has been conceived as a problem not merely in the conventional sense of an unwelcome condition to be solved or overcome, but also a full and ethical way of dwelling in the world.","['YCHU', 'YENJ']",[],Value Not Provided
384,British Cinema,10274,ENGL,"Survey of the British film tradition, emphasizing overlap with literature, drama, and art; visual modernism; documentary's role in defining national identity; ""heritage"" filmmaking and alternative approaches to tradition; and auteur and actors' cinema.","['YCHU', 'YENS']","['M 7.00-10.00p', 'T 1.30-3.20']",Value Not Provided
191,"The Arabian Nights, Then and Now",10504,ENGL,"The medieval cycle of tales known as The Arabian Nights or The Thousand and One Nights is among the most beloved and influential story collections of world literature. It is an “ocean” of tales that has much to teach us about how stories work, whether they must come to an end, and our apparently bottomless desire to hear them. We will spend the semester in the company of genies and princes, thieves and slaves, mass murderers, detectives, and orientalists. We will also explore the ways in which the stories of the Nights have been adapted by later writers, such as Djebbar, Stevenson, Conan Doyle, and Mahfouz, as well as by filmmakers such Pasolini and—of course—Walt Disney. The course is intended to introduce students to the major tales of the Nights and to the classical Arabic literary tradition more broadly. It also seeks to develop their skills of close reading and analysis, particularly through a consideration of literary and filmic adaptations.",['YCHU'],"['MW 11.35-12.50', '1 HTBA LC 211']",Value Not Provided
456,The Practice of Literary Translation,10508,ENGL,"This course combines a seminar on the history and theory of translation (Tuesdays) with a hands-on workshop (Thursdays). The readings lead us through a series of case studies comparing, on the one hand, multiple translations of given literary works and, on the other, classic statements about translation—by translators themselves and prominent theorists. We consider both poetry and prose from the Bible, selections from Chinese, Greek, and Latin verse, classical Arabic and Persian literature, prose by Cervantes, Borges, and others, and modern European poetry (including Pushkin, Baudelaire, and Rilke). Students are expected to prepare short class presentations, participate in a weekly workshop, try their hand at a series of translation exercises, and undertake an intensive, semester-long translation project. Proficiency in a foreign language is required.","['YCHU', 'YENW']",['MW 2.30-3.45'],Value Not Provided
289,The Force of Life,10898,ENGL,"The point of departure for this course is a line from James Baldwin in The Fire Next Time: “To be sensual, I think, is to respect and rejoice in the force of life, of life itself, and to be present in all that one does, from the effort of loving to the breaking of bread.” We study four authors–Virginia Woolf, Franz Kafka, Baldwin, and Jacques Derrida–in light of the values Baldwin expresses and their challenges. Our work between philosophy and fiction involves striving to read each text according to the ideas it itself advances, as well as reading for connections and cross-pollinations.","['YCHU', 'YCWR', 'YENJ']",['T 1.30-3.20'],Value Not Provided
127,Readings in American Literature,11127,ENGL,"Introduction to the American literary tradition in a variety of poetic and narrative forms and in diverse historical contexts. Emphasis on developing skills of literary interpretation and critical writing; diverse linguistic and social histories; and the place of race, class, gender, and sexuality in American literary culture. Authors may include Phillis Wheatley, Henry David Thoreau, Herman Melville, Walt Whitman, Emily Dickinson, Frederick Douglass, Gertrude Stein, Langston Hughes, Ralph Ellison, Flannery O’Connor, Allen Ginsberg, Chang-Rae Lee, and Toni Morrison, among others.","['YCHU', 'YCWR']",['TTh 11.35-12.50'],Value Not Provided
125,Readings in English Poetry I,11131,ENGL,"Introduction to the English literary tradition through close reading of select poems from the seventh through the seventeenth centuries. Emphasis on developing skills of literary interpretation and critical writing; diverse linguistic and social histories; and the many varieties of identity and authority in early literary cultures. Readings may include Beowulf, The Canterbury Tales, Middle English lyrics, The Faerie Queene, Paradise Lost, and poems by Isabella Whitney, Philip Sidney, William Shakespeare, Amelia Lanyer, John Donne, and George Herbert, among others.  Preregistration required; see under English Department.","['YCHU', 'YCWR']",['MW 11.35-12.50'],Value Not Provided
126,Readings in English Poetry II,11132,ENGL,"Introduction to the English literary tradition through close reading of select poems from the eighteenth century through the present. Emphasis on developing skills of literary interpretation and critical writing; diverse genres and social histories; and modernity’s multiple canons and traditions. Authors may include Alexander Pope, William Wordsworth, Elizabeth Barrett Browning, Robert Browning, W. B. Yeats, T. S. Eliot, Langston Hughes, Gertrude Stein, Gwendolyn Brooks, Elizabeth Bishop, and Derek Walcott, among others.  Preregistration required; see under English Department.","['YCHU', 'YCWR']",['TTh 2.30-3.45'],Value Not Provided
128,Readings in Comparative World English Literatures,11142,ENGL,"An introduction to the literary traditions of the Anglophone world in a variety of poetic and narrative forms and historical contexts. Emphasis on developing skills of literary interpretation and critical writing; diverse linguistic, cultural and racial histories; and on the politics of empire and liberation struggles. Authors may include Daniel Defoe, Mary Prince, J. M. Synge, James Joyce, C. L. R. James, Claude McKay, Jean Rhys, Yvonne Vera, Chinua Achebe, Ngugi wa Thiong'o, J. M.Coetzee, Brian Friel, Amitav Ghosh, Salman Rushdie, Alice Munro, Derek Walcott, and Patrick White, among others.","['YCHU', 'YCWR']",['MW 2.30-3.45'],Value Not Provided
129,Tragedy in the European Literary Tradition,11146,ENGL,"The genre of tragedy from its origins in ancient Greece and Rome through the European Renaissance to the present day. Themes of justice, religion, free will, family, gender, race, and dramaturgy. Works might include Aristotle's Poetics or Homer's Iliad and plays by Aeschylus, Sophocles, Euripides, Seneca, Hrotsvitha, Shakespeare, Lope de Vega, Calderon, Racine, Büchner, Ibsen, Strindberg, Chekhov, Wedekind, Synge, Lorca, Brecht, Beckett, Soyinka, Tarell Alvin McCraney, and Lynn Nottage. Focus on textual analysis and on developing the craft of persuasive argument through writing.","['YCHU', 'YCWR']",['TTh 1.00-2.15'],Value Not Provided
130,Epic in the European Literary Tradition,11150,ENGL,"The epic tradition traced from its foundations in ancient Greece and Rome to the modern novel. The creation of cultural values and identities; exile and homecoming; the heroic in times of war and of peace; the role of the individual within society; memory and history; politics of gender, race, and religion. Works include Homer's Odyssey, Vergil's Aeneid, Dante's Inferno, Cervantes's Don Quixote, and Joyce's Ulysses. Focus on textual analysis and on developing the craft of persuasive argument through writing.","['YCHU', 'YCWR']",['TTh 1.00-2.15'],Value Not Provided
343,Modernities: The Aesthetics of Adaptation,11209,ENGL,"Adaptations of literary texts are the bread and butter of visual narrative media like TV and film. Adaptations of certain authors and texts have given rise to entire sub-genres and cottage industries. We consider what adaptations of literary texts, particularly very famous and beloved texts, might help us understand better about the texts themselves, and about the needs and expectations of the audiences of their adaptations. To that purpose, this course explores the purposes and effects of adaptation through a study of a variety of screen versions of adapted texts by authors including Jane Austen, Emily St. John Mandel, and Geoffrey Chaucer. Assigned readings include both literary texts and screen adaptations.",['YCHU'],['MW 2.30-3.45'],Value Not Provided
419,Writing about Contemporary Figurative Art,11552,ENGL,"A workshop on journalistic strategies for looking at and writing about contemporary paintings of the human figure. Practitioners and theorists of figurative painting; controversies, partisans, and opponents. Includes field trips to museums and galleries in New York City. Formerly ENGL 247.","['YCHU', 'YCWR', 'YENW']",['TTh 11.35-12.50'],Value Not Provided
160,Milton,11559,ENGL,"A study of John Milton’s poetry, his engagement with the cultural, social, political, and philosophical struggles of the seventeenth century, and the surprising influence of Paradise Loston eighteenth- and nineteenth-century American letters and religion. Formerly ENGL 220.","['YCHU', 'YCWR']","['TTh 1.30-2.20', '1 HTBA WLH 011']",Value Not Provided
187,Love and Hate in the American South,11566,ENGL,"An introduction to the literature and culture of the American South, a region of the mind identified with the former Confederate States of America and fabricated from a mix of beautiful dreams and violent nightmares, including: histories of slavery and settler colonialism, gothic fiction, the Delta blues, Hollywood movies, evangelical sermons, The Confessions of Nat Turner, love poems, protest poems, prison songs, The Adventures of Huckleberry Finn, country music, photographs, “Strange Fruit,” folk tales, memoirs, cookbook recipes, and other fantasies. Close reading, cultural analysis, and historical context. Literary works by Capote, Faulkner, Hurston, Jacobs, O’Connor, Poe, Twain, Toomer, Walker, Welty, Wright. Music, film, and other media.",['YCHU'],"['TTh 11.35-12.25', '1 HTBA LC 102']",Value Not Provided
244,The Detective Story: Solving Mysteries from Oedipus to Sherlock,11571,ENGL,"The course looks closely at detective stories, novels and films, with attention to the narrative structure of criminal enigma, logical investigation and denouement (whodunit, howdunit), and considers “genre” more broadly. Starting with the proto-detective story Oedipus Rex—in which tragic drama takes the form of a murder mystery—we move on to Edgar Allan Poe’s invention of the genre proper in “The Murders in the Rue Morgue” and “The Purloined Letter.” From there we go to Poe’s “golden age” inheritors Arthur Conan Doyle, G.K. Chesterton, Agatha Christie, and Dorothy Sayers, as well as the adaptation of Doyle’s tales for the BBC series Sherlock. We also spend time on American “hard boiled” writers (Dashiell Hammett, The Maltese Falcon and John Huston’s 1941 film adaptation of the novel; Chester Himes'The Real Cool Killers); fiction which draws upon the conventions of detective stories without being genre fiction (Nabokov, Borges), non-fiction works which have the structure of a detective story (Freud’s...","['YCHU', 'YENJ']",['TTh 2.30-3.45'],Value Not Provided
258,African American Autobiography,11591,ENGL,"Examination of African American autobiography, from slave narratives to contemporary memoirs, and how the genre approaches the project (and problem) of knowing, through reading, the relationships of fellow humans. Chronological consideration of a range of narratives and their representations of race, of space, of migration, of violence, of self, and of other, as well as the historical circumstances that inform these representations.","['YCHU', 'YENJ']",['MW 11.35-12.50'],Prerequisite: one college-level literature course.
487,Tutorial in Writing,11618,ENGL,"A writing tutorial in fiction, poetry, playwriting, screenwriting, or nonfiction for students who have already taken writing courses at the intermediate and advanced levels. Conducted with a faculty member after approval by the director of undergraduate studies. Proposals must be submitted to the DUS in the previous term; deadlines and instructions are posted at https://english.yale.edu/undergraduate/courses/independent-study-courses.",['YENW'],['1 HTBA'],Prerequisites: two courses in writing.
488,Special Projects for Juniors or Seniors,11619,ENGL,"Special projects set up by the student in an area of particular interest with the help of a faculty adviser and the director of undergraduate studies, intended to enable the student to cover material not otherwise offered by the department. The course may be used for research or for directed reading, but in either case a term paper or its equivalent is normally required. The student meets regularly with the faculty adviser. Proposals must be signed by the faculty adviser and submitted to the DUS in the previous term; deadlines and instructions are posted at https://english.yale.edu/undergraduate/courses/independent-study-courses.",[],['1 HTBA'],Value Not Provided
489,The Creative Writing Concentration Senior Project,11620,ENGL,"A term-long project in writing, under tutorial supervision, aimed at producing a single longer work (or a collection of related shorter works). The creative writing concentration accepts students with demonstrated commitment to creative writing at the end of the junior year or, occasionally, in the first term of senior year. Proposals for the writing concentration should be submitted during the designated sign-up period in the term before enrollment is intended. The project is due by the end of the last week of classes (fall term), or the end of the next-to-last week of classes (spring term). Proposal instructions and deadlines are posted athttps://english.yale.edu/undergraduate/courses/independent-study-courses.",['YENW'],['1 HTBA'],Value Not Provided
490,The Senior Essay I,11621,ENGL,"Students wishing to undertake an independent senior essay in English must submit a proposal to the DUS in the previous term; deadlines and instructions are posted at https://english.yale.edu/undergraduate/courses/independent-study-courses. For one-term senior essays, the essay itself is due in the office of the director of undergraduate studies according to the following schedule: (1) end of the fourth week of classes: five to ten pages of writing and/or an annotated bibliography; (2) end of the ninth week of classes: a rough draft of the complete essay; (3) end of the last week of classes (fall term) or end of the next-to-last week of classes (spring term): the completed essay. Consult the director of undergraduate studies regarding the schedule for submission of the yearlong senior essay.",[],['1 HTBA'],Value Not Provided
491,The Senior Essay II,11622,ENGL,"Second term of the optional yearlong senior essay. Students may begin the yearlong essay in the spring term of the junior year, allowing for significant summer research, with permission of the instructor. Students must submit a proposal to the DUS in the previous term; deadlines and instructions are posted at https://english.yale.edu/undergraduate/courses/independent-study-courses.",[],['1 HTBA'],After ENGL 490.
