cSectionStatus,courseNumber,courseTitle,crn,department,description,distDesg,finalExam,instructorList,instructorUPI,meetingEndTimeList,meetingPattern,meetingPatternLocation,meetingStartTimeList,prerequisites,primXLst,schoolCode,schoolDescription,scndXLst,sectionNumber,sectionStatus,session,shortTitle,subjectCode,subjectNumber,syllabusLink,termCode
A,110,Elementary Modern Chinese I,13063,EALL,"<p>Intended for students with no background in Chinese. An intensive course with emphasis on spoken language and drills. Pronunciation, grammatical analysis, conversation practice, and introduction to reading and writing Chinese characters.</p>",['YCL1'],0,['Jianhua Shen'],['11783895'],[],['M-F 9.25-10.15'],['BF S-12'],[],,,YC,Yale College,[],02,A,,Elementary Modern Chinese I,CHNS,CHNS110,https://yale.instructure.com/courses/100075/assignments/syllabus,202403
A,110,Elementary Modern Chinese I,13064,EALL,"<p>Intended for students with no background in Chinese. An intensive course with emphasis on spoken language and drills. Pronunciation, grammatical analysis, conversation practice, and introduction to reading and writing Chinese characters.</p>",['YCL1'],0,['Rongzhen Li'],['11783844'],[],['M-F 10.30-11.20'],['WALL53 B-03'],[],,,YC,Yale College,[],03,A,,Elementary Modern Chinese I,CHNS,CHNS110,https://yale.instructure.com/courses/100076/assignments/syllabus,202403
A,110,Elementary Modern Chinese I,13084,EALL,"<p>Intended for students with no background in Chinese. An intensive course with emphasis on spoken language and drills. Pronunciation, grammatical analysis, conversation practice, and introduction to reading and writing Chinese characters.</p>",['YCL1'],0,['Mo Wu'],['25506472'],[],['M-F 10.30-11.20'],['YK212 004A'],[],,,YC,Yale College,[],04,A,,Elementary Modern Chinese I,CHNS,CHNS110,https://yale.instructure.com/courses/100077/assignments/syllabus,202403
A,110,Elementary Modern Chinese I,13092,EALL,"<p>Intended for students with no background in Chinese. An intensive course with emphasis on spoken language and drills. Pronunciation, grammatical analysis, conversation practice, and introduction to reading and writing Chinese characters.</p>",['YCL1'],0,['Yongtao Zhang'],['17161092'],[],['M-F 10.30-11.20'],['YK220 003'],[],,,YC,Yale College,[],05,A,,Elementary Modern Chinese I,CHNS,CHNS110,https://yale.instructure.com/courses/100078/assignments/syllabus,202403
A,110,Elementary Modern Chinese I,13098,EALL,"<p>Intended for students with no background in Chinese. An intensive course with emphasis on spoken language and drills. Pronunciation, grammatical analysis, conversation practice, and introduction to reading and writing Chinese characters.</p>",['YCL1'],0,['Mo Wu'],['25506472'],[],['M-F 11.35-12.25'],['YK212 004A'],[],,,YC,Yale College,[],06,A,,Elementary Modern Chinese I,CHNS,CHNS110,https://yale.instructure.com/courses/100079/assignments/syllabus,202403
A,110,Elementary Modern Chinese I,13100,EALL,"<p>Intended for students with no background in Chinese. An intensive course with emphasis on spoken language and drills. Pronunciation, grammatical analysis, conversation practice, and introduction to reading and writing Chinese characters.</p>",['YCL1'],0,['Yu-Lin Saussy'],['12271217'],[],['M-F 11.35-12.25'],['WALL53 B-04'],[],,,YC,Yale College,[],07,A,,Elementary Modern Chinese I,CHNS,CHNS110,https://yale.instructure.com/courses/100080/assignments/syllabus,202403
A,112,Elementary Modern Chinese for Heritage Speakers,13115,EALL,"First level of the advanced learner sequence. Intended for students with some aural proficiency but very limited ability in reading and writing Chinese. Training in listening and speaking, with emphasis on reading and writing. Placement confirmed by placement test and by instructor.",['YCL1'],0,['Chuanmei Sun'],['14316810'],[],['M-F 9.25-10.15'],['LC 204'],[],,,YC,Yale College,[],01,A,,ElmntryModChinseHeritSpeakers,CHNS,CHNS112,https://yale.instructure.com/courses/100091/assignments/syllabus,202403
A,112,Elementary Modern Chinese for Heritage Speakers,13116,EALL,"First level of the advanced learner sequence. Intended for students with some aural proficiency but very limited ability in reading and writing Chinese. Training in listening and speaking, with emphasis on reading and writing. Placement confirmed by placement test and by instructor.",['YCL1'],50,[],[],[],['M-F 10.30-11.20'],['WALL53 208'],[],,,YC,Yale College,[],02,A,,ElmntryModChinseHeritSpeakers,CHNS,CHNS112,,202403
A,130,Intermediate Modern Chinese I,13117,EALL,"<p>An intermediate course that continues intensive training in listening, speaking, reading, and writing and consolidates achievements from the first year of study. Students improve oral fluency, study more complex grammatical structures, and enlarge both reading and writing vocabulary.</p>",['YCL3'],0,['Wen Zhang'],['25527144'],[],['M-F 9.25-10.15'],['YK220 004'],[],"<p class=""prerequisites"">After CHNS 120 or equivalent.</p>",,YC,Yale College,[],01,A,,Intermediate Modern Chinese I,CHNS,CHNS130,https://yale.instructure.com/courses/100093/assignments/syllabus,202403
A,130,Intermediate Modern Chinese I,13118,EALL,"<p>An intermediate course that continues intensive training in listening, speaking, reading, and writing and consolidates achievements from the first year of study. Students improve oral fluency, study more complex grammatical structures, and enlarge both reading and writing vocabulary.</p>",['YCL3'],0,['Haiwen Wang'],['12428586'],[],['M-F 9.25-10.15'],['WTS B51'],[],"<p class=""prerequisites"">After CHNS 120 or equivalent.</p>",,YC,Yale College,[],02,A,,Intermediate Modern Chinese I,CHNS,CHNS130,https://yale.instructure.com/courses/100094/assignments/syllabus,202403
A,130,Intermediate Modern Chinese I,13119,EALL,"<p>An intermediate course that continues intensive training in listening, speaking, reading, and writing and consolidates achievements from the first year of study. Students improve oral fluency, study more complex grammatical structures, and enlarge both reading and writing vocabulary.</p>",['YCL3'],0,['Ninghui Liang'],['11617516'],[],['M-F 10.30-11.20'],['SML 207'],[],"<p class=""prerequisites"">After CHNS 120 or equivalent.</p>",,YC,Yale College,[],03,A,,Intermediate Modern Chinese I,CHNS,CHNS130,https://yale.instructure.com/courses/100095/assignments/syllabus,202403
A,130,Intermediate Modern Chinese I,13120,EALL,"<p>An intermediate course that continues intensive training in listening, speaking, reading, and writing and consolidates achievements from the first year of study. Students improve oral fluency, study more complex grammatical structures, and enlarge both reading and writing vocabulary.</p>",['YCL3'],0,['Jingjing Ao'],['24654194'],[],['M-F 10.30-11.20'],['WTS A74'],[],"<p class=""prerequisites"">After CHNS 120 or equivalent.</p>",,YC,Yale College,[],04,A,,Intermediate Modern Chinese I,CHNS,CHNS130,https://yale.instructure.com/courses/100096/assignments/syllabus,202403
A,130,Intermediate Modern Chinese I,13121,EALL,"<p>An intermediate course that continues intensive training in listening, speaking, reading, and writing and consolidates achievements from the first year of study. Students improve oral fluency, study more complex grammatical structures, and enlarge both reading and writing vocabulary.</p>",['YCL3'],0,['Wen Zhang'],['25527144'],[],['M-F 11.35-12.25'],['YK220 004'],[],"<p class=""prerequisites"">After CHNS 120 or equivalent.</p>",,YC,Yale College,[],05,A,,Intermediate Modern Chinese I,CHNS,CHNS130,https://yale.instructure.com/courses/100097/assignments/syllabus,202403
A,132,Intermediate Modern Chinese for Heritage Speakers,13169,EALL,"<p>The second level of the advanced learner sequence. Intended for students with intermediate oral proficiency and elementary reading and writing proficiency. Students receive intensive training in listening, speaking, reading, and writing, supplemented by audio and video materials. The objective of the course is to balance these four skills and work toward attaining an advanced level in all of them.</p>",['YCL3'],0,['Min Chen'],['12397493'],[],['M-F 9.25-10.15'],['WTS A72'],[],"<p class=""prerequisites"">Prerequisite: CHNS 122b or equivalent.</p>",,YC,Yale College,[],01,A,,IntrmdtModChinseHeritSpeakers,CHNS,CHNS132,https://yale.instructure.com/courses/100120/assignments/syllabus,202403
A,132,Intermediate Modern Chinese for Heritage Speakers,13171,EALL,"<p>The second level of the advanced learner sequence. Intended for students with intermediate oral proficiency and elementary reading and writing proficiency. Students receive intensive training in listening, speaking, reading, and writing, supplemented by audio and video materials. The objective of the course is to balance these four skills and work toward attaining an advanced level in all of them.</p>",['YCL3'],0,[],[],[],['M-F 9.25-10.15'],['WALL53 208'],[],"<p class=""prerequisites"">Prerequisite: CHNS 122b or equivalent.</p>",,YC,Yale College,[],02,A,,IntrmdtModChinseHeritSpeakers,CHNS,CHNS132,,202403
A,132,Intermediate Modern Chinese for Heritage Speakers,13174,EALL,"<p>The second level of the advanced learner sequence. Intended for students with intermediate oral proficiency and elementary reading and writing proficiency. Students receive intensive training in listening, speaking, reading, and writing, supplemented by audio and video materials. The objective of the course is to balance these four skills and work toward attaining an advanced level in all of them.</p>",['YCL3'],0,['Wei Su'],['10461618'],[],['M-F 10.30-11.20'],['TM432 102'],[],"<p class=""prerequisites"">Prerequisite: CHNS 122b or equivalent.</p>",,YC,Yale College,[],03,A,,IntrmdtModChinseHeritSpeakers,CHNS,CHNS132,https://yale.instructure.com/courses/100122/assignments/syllabus,202403
A,132,Intermediate Modern Chinese for Heritage Speakers,13175,EALL,"<p>The second level of the advanced learner sequence. Intended for students with intermediate oral proficiency and elementary reading and writing proficiency. Students receive intensive training in listening, speaking, reading, and writing, supplemented by audio and video materials. The objective of the course is to balance these four skills and work toward attaining an advanced level in all of them.</p>",['YCL3'],0,['Fan Liu'],['12431323'],[],['M-F 10.30-11.20'],['KT 203'],[],"<p class=""prerequisites"">Prerequisite: CHNS 122b or equivalent.</p>",,YC,Yale College,[],04,A,,IntrmdtModChinseHeritSpeakers,CHNS,CHNS132,https://yale.instructure.com/courses/100123/assignments/syllabus,202403
A,132,Intermediate Modern Chinese for Heritage Speakers,13176,EALL,"<p>The second level of the advanced learner sequence. Intended for students with intermediate oral proficiency and elementary reading and writing proficiency. Students receive intensive training in listening, speaking, reading, and writing, supplemented by audio and video materials. The objective of the course is to balance these four skills and work toward attaining an advanced level in all of them.</p>",['YCL3'],0,['Peisong Xu'],['11633173'],[],['M-F 11.35-12.25'],['YK220 100'],[],"<p class=""prerequisites"">Prerequisite: CHNS 122b or equivalent.</p>",,YC,Yale College,[],05,A,,IntrmdtModChinseHeritSpeakers,CHNS,CHNS132,https://yale.instructure.com/courses/100124/assignments/syllabus,202403
A,150,Advanced Modern Chinese I,13178,EALL,"<p>Third level of the standard foundational sequence of modern Chinese, with study in speaking, listening, reading, and writing. Use of audiovisual materials, oral presentations, skits, and longer and more frequent writing assignments to assimilate more sophisticated grammatical structures. Further introduction to a wide variety of written forms and styles. Use of both traditional and simplified forms of Chinese characters.</p>",['YCL5'],0,['Hsiu-hsien Chan'],['12400145'],[],['MWF 9.25-10.15'],['BASSLB L71'],[],"<p class=""prerequisites"">After CHNS 140 or equivalent.</p>",,YC,Yale College,[],01,A,,Advanced Modern Chinese I,CHNS,CHNS150,https://yale.instructure.com/courses/100126/assignments/syllabus,202403
A,150,Advanced Modern Chinese I,13179,EALL,"<p>Third level of the standard foundational sequence of modern Chinese, with study in speaking, listening, reading, and writing. Use of audiovisual materials, oral presentations, skits, and longer and more frequent writing assignments to assimilate more sophisticated grammatical structures. Further introduction to a wide variety of written forms and styles. Use of both traditional and simplified forms of Chinese characters.</p>",['YCL5'],0,['Haiwen Wang'],['12428586'],[],['MWF 10.30-11.20'],['WTS B51'],[],"<p class=""prerequisites"">After CHNS 140 or equivalent.</p>",,YC,Yale College,[],02,A,,Advanced Modern Chinese I,CHNS,CHNS150,https://yale.instructure.com/courses/100127/assignments/syllabus,202403
A,150,Advanced Modern Chinese I,13180,EALL,"<p>Third level of the standard foundational sequence of modern Chinese, with study in speaking, listening, reading, and writing. Use of audiovisual materials, oral presentations, skits, and longer and more frequent writing assignments to assimilate more sophisticated grammatical structures. Further introduction to a wide variety of written forms and styles. Use of both traditional and simplified forms of Chinese characters.</p>",['YCL5'],0,['Chuanmei Sun'],['14316810'],[],['MWF 10.30-11.20'],['LC 204'],[],"<p class=""prerequisites"">After CHNS 140 or equivalent.</p>",,YC,Yale College,[],03,A,,Advanced Modern Chinese I,CHNS,CHNS150,https://yale.instructure.com/courses/100128/assignments/syllabus,202403
A,150,Advanced Modern Chinese I,13181,EALL,"<p>Third level of the standard foundational sequence of modern Chinese, with study in speaking, listening, reading, and writing. Use of audiovisual materials, oral presentations, skits, and longer and more frequent writing assignments to assimilate more sophisticated grammatical structures. Further introduction to a wide variety of written forms and styles. Use of both traditional and simplified forms of Chinese characters.</p>",['YCL5'],0,['Chuanmei Sun'],['14316810'],[],['MWF 11.35-12.25'],['LC 204'],[],"<p class=""prerequisites"">After CHNS 140 or equivalent.</p>",,YC,Yale College,[],04,A,,Advanced Modern Chinese I,CHNS,CHNS150,https://yale.instructure.com/courses/100129/assignments/syllabus,202403
A,150,Advanced Modern Chinese I,13182,EALL,"<p>Third level of the standard foundational sequence of modern Chinese, with study in speaking, listening, reading, and writing. Use of audiovisual materials, oral presentations, skits, and longer and more frequent writing assignments to assimilate more sophisticated grammatical structures. Further introduction to a wide variety of written forms and styles. Use of both traditional and simplified forms of Chinese characters.</p>",['YCL5'],0,['Haiwen Wang'],['12428586'],[],['MWF 11.35-12.25'],['WTS B51'],[],"<p class=""prerequisites"">After CHNS 140 or equivalent.</p>",,YC,Yale College,[],05,A,,Advanced Modern Chinese I,CHNS,CHNS150,https://yale.instructure.com/courses/100130/assignments/syllabus,202403
A,152,Advanced Modern Chinese for Heritage Speakers,13186,EALL,"<p>This course is intended for heritage speakers with intermediate high to advanced low speaking and listening skills and with intermediate reading and writing skills. The class follows CHNS 142 in the heritage track. The goal of the course is to help students effectively expand their skills in reading and writing&#160;while concurrently&#160;addressing the need to improve their listening and oral skills in formal environments. The materials cover a variety of topics relating to Chinese culture, society, and cultural differences,&#160;supplemented with authentic video materials.</p>",['YCL5'],0,['Peisong Xu'],['11633173'],[],['MWF 9.25-10.15'],['YK220 100'],[],"<p class=""prerequisites"">Prerequisite: CHNS 142 or equivalent.</p>",,YC,Yale College,[],01,A,,AdvModChineseHeritSpeakers,CHNS,CHNS152,https://yale.instructure.com/courses/100131/assignments/syllabus,202403
A,152,Advanced Modern Chinese for Heritage Speakers,13193,EALL,"<p>This course is intended for heritage speakers with intermediate high to advanced low speaking and listening skills and with intermediate reading and writing skills. The class follows CHNS 142 in the heritage track. The goal of the course is to help students effectively expand their skills in reading and writing&#160;while concurrently&#160;addressing the need to improve their listening and oral skills in formal environments. The materials cover a variety of topics relating to Chinese culture, society, and cultural differences,&#160;supplemented with authentic video materials.</p>",['YCL5'],0,['Yu-Lin Saussy'],['12271217'],[],['MWF 10.30-11.20'],['WALL53 B-04'],[],"<p class=""prerequisites"">Prerequisite: CHNS 142 or equivalent.</p>",,YC,Yale College,[],02,A,,AdvModChineseHeritSpeakers,CHNS,CHNS152,https://yale.instructure.com/courses/100135/assignments/syllabus,202403
A,152,Advanced Modern Chinese for Heritage Speakers,13202,EALL,"<p>This course is intended for heritage speakers with intermediate high to advanced low speaking and listening skills and with intermediate reading and writing skills. The class follows CHNS 142 in the heritage track. The goal of the course is to help students effectively expand their skills in reading and writing&#160;while concurrently&#160;addressing the need to improve their listening and oral skills in formal environments. The materials cover a variety of topics relating to Chinese culture, society, and cultural differences,&#160;supplemented with authentic video materials.</p>",['YCL5'],0,['Peisong Xu'],['11633173'],[],['MWF 10.30-11.20'],['YK220 100'],[],"<p class=""prerequisites"">Prerequisite: CHNS 142 or equivalent.</p>",,YC,Yale College,[],03,A,,AdvModChineseHeritSpeakers,CHNS,CHNS152,https://yale.instructure.com/courses/100138/assignments/syllabus,202403
A,156,Advanced Modern Chinese through Film for Heritage Speakers,13203,EALL,"<p>This course is designed to consolidate students’ grasp of the language through the use of films, TV programs, videos on social media, and authentic written materials. Activities include presentations, group discussions, written assignments, and projects. Open to heritage learners with intermediate to advanced oral proficiency and intermediate-low reading and writing proficiency.</p>",['YCL5'],0,['Ninghui Liang'],['11617516'],[],['TTh 9.00-10.15'],['SML 207'],[],"<p class=""prerequisites"">After CHNS 142, or equivalent.</p>",,YC,Yale College,[],01,A,,Chinese through Film,CHNS,CHNS156,https://yale.instructure.com/courses/100139/assignments/syllabus,202403
A,158,Advanced Chinese III through Films and Stories,13204,EALL,"<p>Fourth level of the standard foundational sequence of modern Chinese, with study in speaking, listening, reading, and writing. Readings in a wide range of subjects form the basis of discussion and other activities. Students consolidate their skills, especially speaking proficiency, at an advanced level. Materials use both simplified and traditional characters. (Previously CHNS 154.)</p>",['YCL5'],0,['Mo Wu'],['25506472'],[],['MWF 9.25-10.15'],['YK212 004A'],[],"<p class=""prerequisites"">After CHNS 151 or equivalent.</p>",,YC,Yale College,[],01,A,,Adv Chinese III: Films&Stories,CHNS,CHNS158,https://yale.instructure.com/courses/100140/assignments/syllabus,202403
A,158,Advanced Chinese III through Films and Stories,13205,EALL,"<p>Fourth level of the standard foundational sequence of modern Chinese, with study in speaking, listening, reading, and writing. Readings in a wide range of subjects form the basis of discussion and other activities. Students consolidate their skills, especially speaking proficiency, at an advanced level. Materials use both simplified and traditional characters. (Previously CHNS 154.)</p>",['YCL5'],0,['Jianhua Shen'],['11783895'],[],['MWF 10.30-11.20'],['BF S-12'],[],"<p class=""prerequisites"">After CHNS 151 or equivalent.</p>",,YC,Yale College,[],02,A,,Adv Chinese III: Films&Stories,CHNS,CHNS158,https://yale.instructure.com/courses/100141/assignments/syllabus,202403
A,158,Advanced Chinese III through Films and Stories,13206,EALL,"<p>Fourth level of the standard foundational sequence of modern Chinese, with study in speaking, listening, reading, and writing. Readings in a wide range of subjects form the basis of discussion and other activities. Students consolidate their skills, especially speaking proficiency, at an advanced level. Materials use both simplified and traditional characters. (Previously CHNS 154.)</p>",['YCL5'],0,['Wen Zhang'],['25527144'],[],['MWF 10.30-11.20'],['YK220 004'],[],"<p class=""prerequisites"">After CHNS 151 or equivalent.</p>",,YC,Yale College,[],03,A,,Adv Chinese III: Films&Stories,CHNS,CHNS158,https://yale.instructure.com/courses/100142/assignments/syllabus,202403
A,158,Advanced Chinese III through Films and Stories,13207,EALL,"<p>Fourth level of the standard foundational sequence of modern Chinese, with study in speaking, listening, reading, and writing. Readings in a wide range of subjects form the basis of discussion and other activities. Students consolidate their skills, especially speaking proficiency, at an advanced level. Materials use both simplified and traditional characters. (Previously CHNS 154.)</p>",['YCL5'],0,['Yongtao Zhang'],['17161092'],[],['MWF 11.35-12.25'],['YK220 003'],[],"<p class=""prerequisites"">After CHNS 151 or equivalent.</p>",,YC,Yale College,[],04,A,,Adv Chinese III: Films&Stories,CHNS,CHNS158,https://yale.instructure.com/courses/100143/assignments/syllabus,202403
A,162,Advanced Chinese through History and Culture,13208,EALL,"<p>This course is intended for both heritage and non heritage learners with advanced proficiency. Students develop sophisticated language skills through working with authentic written materials, images, and videos concerning historical events, historical figures, artists, writers, and philosophers. Activities include working with translation tools, discussions, debates, presentations, oral and written exercises on platforms such as Playposit and Perusall, and collaborative projects.&#160;</p>",['YCL5'],0,['Rongzhen Li'],['11783844'],[],['TTh 11.35-12.50'],['WALL53 B-03'],[],"<p class=""prerequisites"">After CHNS 153, or 157, or 159,&#160; or equivalent.</p>",,YC,Yale College,[],01,A,,Adv Chinese: History Culture,CHNS,CHNS162,https://yale.instructure.com/courses/100144/assignments/syllabus,202403
A,164,Chinese for Reading Contemporary Fiction,13210,EALL,"<p>Selected readings in Chinese fiction of the 1980s and 1990s for the purpose of developing advanced language skills in reading, speaking, and writing.</p>",['YCL5'],34,['Wei Su'],['10461618'],[],['MW 11.35-12.50'],['TM432 102'],[],"<p class=""prerequisites"">After CHNS 153, or 157, or 159,&#160; or equivalent.</p>",,YC,Yale College,[],01,A,,ChnsforRdngContemporaryFiction,CHNS,CHNS164,https://yale.instructure.com/courses/100145/assignments/syllabus,202403
A,164,Chinese for Reading Contemporary Fiction,13211,EALL,"<p>Selected readings in Chinese fiction of the 1980s and 1990s for the purpose of developing advanced language skills in reading, speaking, and writing.</p>",['YCL5'],24,['Wei Su'],['10461618'],[],['TTh 11.35-12.50'],['TM432 102'],[],"<p class=""prerequisites"">After CHNS 153, or 157, or 159,&#160; or equivalent.</p>",,YC,Yale College,[],02,A,,ChnsforRdngContemporaryFiction,CHNS,CHNS164,https://yale.instructure.com/courses/100147/assignments/syllabus,202403
A,166,Chinese for Current Affairs,13213,EALL,"<p>Advanced language course with a focus on speaking and writing in formal styles. Current affairs are used as a vehicle to help students learn advanced vocabulary, idiomatic expressions, complex sentence structures, news writing styles and formal stylistic register. Materials include texts and videos selected from news media worldwide to improve students’ language proficiency for sophisticated communications on a wide range of topics.</p>",['YCL5'],0,['Jingjing Ao'],['24654194'],[],['MW 11.35-12.50'],['WTS A74'],[],"<p class=""prerequisites"">After CHNS 153, 157, or 159.</p>",,YC,Yale College,[],01,A,,Chinese for Current Affairs,CHNS,CHNS166,https://yale.instructure.com/courses/100148/assignments/syllabus,202403
A,166,Chinese for Current Affairs,13215,EALL,"<p>Advanced language course with a focus on speaking and writing in formal styles. Current affairs are used as a vehicle to help students learn advanced vocabulary, idiomatic expressions, complex sentence structures, news writing styles and formal stylistic register. Materials include texts and videos selected from news media worldwide to improve students’ language proficiency for sophisticated communications on a wide range of topics.</p>",['YCL5'],0,['Jingjing Ao'],['24654194'],[],['TTh 9.00-10.15'],['WTS B35'],[],"<p class=""prerequisites"">After CHNS 153, 157, or 159.</p>",,YC,Yale College,[],02,A,,Chinese for Current Affairs,CHNS,CHNS166,https://yale.instructure.com/courses/100149/assignments/syllabus,202403
A,168,Chinese for Global Enterprises,13216,EALL,"<p>Advanced language course that familiarizes students with Chinese business terminology and discourse through discussion of China's economic and management reforms, marketing, economic laws, business culture and customs, and economic relations with other countries. Case studies from international enterprises that have successfully entered the Chinese market.</p>",['YCL5'],0,['Min Chen'],['12397493'],[],['MW 1.00-2.15'],['WTS B39'],[],"<p class=""prerequisites"">Prerequisite: After CHNS 153, or CHNS 157, or CHNS 159, or equivalent.</p>",,YC,Yale College,[],01,A,,Chinese for Global Enterprises,CHNS,CHNS168,https://yale.instructure.com/courses/100150/assignments/syllabus,202403
A,172,Chinese for Scholarly Conversation,13217,EALL,"<p>This course aims to prepare students for the language requirements of advanced research or employment in a variety of China-related fields. Materials include readings on contemporary social, cultural, and political issues, which are written by prominent scholars in related fields. This level is suitable for students who have had four years of college Chinese or who have taken three years of an accelerated program for heritage speakers.</p>",['YCL5'],0,['Jianhua Shen'],['11783895'],[],['MW 2.30-3.45'],['WTS A68'],[],"<p class=""prerequisites"">After CHNS 153, 159, 157, or equivalent,&#160;or permission of the instructor.&#160;</p>",,YC,Yale College,[],01,A,,Chinese Scholarly Conversation,CHNS,CHNS172,https://yale.instructure.com/courses/100151/assignments/syllabus,202403
